"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"134","I met with the DOJ concerning the declassification of various UNREDACTED documents. They agreed to release them but… https://t.co/yu3KyALbuq",FALSE,57818,NA,2018-09-21 14:35:11,TRUE,NA,"1043146627576258561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15625,FALSE,FALSE,NA,NA
"135","The radical left lawyers want the FBI to get involved NOW. Why didn’t someone call the FBI 36 years ago?",FALSE,82319,NA,2018-09-21 13:29:47,FALSE,NA,"1043130170612244481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17304,FALSE,FALSE,NA,NA
"136","I will Chair the United Nations Security Council meeting on Iran next week!",FALSE,70065,NA,2018-09-21 13:23:32,FALSE,NA,"1043128595231604738",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15707,FALSE,FALSE,NA,NA
"137","I have no doubt that, if the attack on Dr. Ford was as bad as she says, charges would have been immediately filed w… https://t.co/4sgOHYo7kF",FALSE,112643,NA,2018-09-21 13:14:33,TRUE,NA,"1043126336473055235",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26867,FALSE,FALSE,NA,NA
"138","Judge Brett Kavanaugh is a fine man, with an impeccable reputation, who is under assault by radical left wing polit… https://t.co/BpC6phYn0J",FALSE,115474,NA,2018-09-21 12:56:46,TRUE,NA,"1043121858797686785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30031,FALSE,FALSE,NA,NA
"139","AMERICA IS WINNING AGAIN! https://t.co/6HcBjLAAQB",FALSE,80441,NA,2018-09-21 04:05:52,FALSE,NA,"1042988257166819329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19621,FALSE,FALSE,NA,NA
"140","Thank you Las Vegas, Nevada - I love you! #MAGA<U+0001F1FA><U+0001F1F8> https://t.co/GBZO84PyQ1",FALSE,49611,NA,2018-09-21 03:33:30,FALSE,NA,"1042980109907451905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11015,FALSE,FALSE,NA,NA
"141","MAKE AMERICA GREAT AGAIN!
https://t.co/OYJUkiEUid",FALSE,54132,NA,2018-09-21 03:29:03,FALSE,NA,"1042978990229606401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14050,FALSE,FALSE,NA,NA
"142","Landing in Las Vegas now for a Make America Great Again Rally supporting @DeanHeller and @DannyTarkanian. Also doin… https://t.co/nlm7h6xTt6",FALSE,53660,NA,2018-09-21 01:27:45,TRUE,NA,"1042948464408055808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10798,FALSE,FALSE,NA,NA
"143","https://t.co/LdXQb42Imc",FALSE,43165,NA,2018-09-20 23:57:13,FALSE,NA,"1042925680109924352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12784,FALSE,FALSE,NA,NA
"144","On my way to Las Vegas, Nevada. Look forward to seeing everyone tonight! #MAGA https://t.co/wTeerIUJvd",FALSE,56724,NA,2018-09-20 21:54:39,FALSE,NA,"1042894836024586240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12531,FALSE,FALSE,NA,NA
"145","https://t.co/RzqoiQ4SmD",FALSE,54041,NA,2018-09-20 18:34:14,FALSE,NA,"1042844399300952064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13503,FALSE,FALSE,NA,NA
"146","Army Master Sgt. Charles H. McDaniel, 32, of Vernon, Indiana, and Army Pfc. William H. Jones, 19, of Nash County, N… https://t.co/oLmSJEZnlS",FALSE,55841,NA,2018-09-20 18:10:05,TRUE,NA,"1042838322530398214",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13086,FALSE,FALSE,NA,NA
"147","Congratulations to my good friend Prime Minister @AbeShinzo on his HUGE election victory in Japan. I’m looking forw… https://t.co/ghipsRro5u",FALSE,70505,NA,2018-09-20 17:39:08,TRUE,NA,"1042830534513229825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15845,FALSE,FALSE,NA,NA
"148",".@JayWebberNJ is running for Congress in the 11th District of New Jersey. He is outstanding in every way. Strong on… https://t.co/SdtyhJODFP",FALSE,43457,NA,2018-09-20 17:30:10,TRUE,NA,"1042828275121369088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11496,FALSE,FALSE,NA,NA
"149","S&amp;P 500 HITS ALL-TIME HIGH  Congratulations USA!",FALSE,91170,NA,2018-09-20 13:34:15,FALSE,NA,"1042768904857247744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20591,FALSE,FALSE,NA,NA
"150","I want to know, where is the money for Border Security and the WALL in this ridiculous Spending Bill, and where wil… https://t.co/KHpM0VtP7I",FALSE,116557,NA,2018-09-20 11:43:01,TRUE,NA,"1042740913968164864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30714,FALSE,FALSE,NA,NA
"151","....The thing that’s lacking is we can’t properly secure the Border because of the Democrats historic level of Obst… https://t.co/7FckEVWHbo",FALSE,54808,NA,2018-09-20 11:37:55,TRUE,NA,"1042739629139664896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13310,FALSE,FALSE,NA,NA
